 Date,Region, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Unemployed, Estimated Labour Participation Rate (%)
 31-10-2017,Rajasthan, Monthly,3,"14,006,433","420,193",36.63
 30-11-2017,Rajasthan, Monthly,7.49,"15,205,714","1,138,908",41.6
 31-12-2017,Rajasthan, Monthly,3.76,"14,532,296","546,414",38.13
 31-01-2018,Rajasthan, Monthly,5.23,"14,537,018","760,286",38.64
 28-02-2018,Rajasthan, Monthly,4.43,"13,962,211","618,526",36.72
 31-03-2018,Rajasthan, Monthly,13.31,"14,529,426","1,933,867",42.03
 30-04-2018,Rajasthan, Monthly,6.68,"14,036,756","937,655",37.64
 31-05-2018,Rajasthan, Monthly,3.48,"14,888,304","518,113",38.51
 30-06-2018,Rajasthan, Monthly,9.27,"14,117,414","1,308,684",38.75
 31-07-2018,Rajasthan, Monthly,10.17,"14,382,481","1,462,698",39.78
 31-08-2018,Rajasthan, Monthly,9.34,"14,286,761","1,334,383",39.07
 30-09-2018,Rajasthan, Monthly,6.2,"14,629,445","907,026",38.57
 31-10-2018,Rajasthan, Monthly,13.22,"14,295,458","1,889,860",40.65
 30-11-2018,Rajasthan, Monthly,11.99,"14,593,183","1,749,723",40.82
 31-12-2018,Rajasthan, Monthly,14.58,"14,547,388","2,121,009",41.83
 31-01-2019,Rajasthan, Monthly,5.82,"14,813,168","862,126",38.54
 28-02-2019,Rajasthan, Monthly,9.58,"15,265,319","1,462,418",41.28
 31-03-2019,Rajasthan, Monthly,8.92,"14,728,164","1,313,752",39.45
 30-04-2019,Rajasthan, Monthly,12.1,"15,028,831","1,818,489",41.61
 31-05-2019,Rajasthan, Monthly,4.03,"15,226,003","613,608",38.52
 30-06-2019,Rajasthan, Monthly,13.7,"14,610,567","2,001,648",41.02
 31-07-2019,Rajasthan, Monthly,9.7,"14,859,873","1,441,408",39.78
 31-08-2019,Rajasthan, Monthly,12.5,"15,052,044","1,881,506",41.48
 30-09-2019,Rajasthan, Monthly,5.65,"15,290,705","863,925",38.99
 31-10-2019,Rajasthan, Monthly,14.66,"15,178,549","2,225,175",42.69
 30-11-2019,Rajasthan, Monthly,10.47,"15,278,556","1,599,665",40.87
 31-12-2019,Rajasthan, Monthly,13.96,"15,485,313","2,161,750",43
 31-01-2020,Rajasthan, Monthly,8,"15,484,353","1,238,748",40.12
 29-02-2020,Rajasthan, Monthly,14.48,"15,040,572","2,177,875",41.83
 31-03-2020,Rajasthan, Monthly,9.47,"15,059,769","1,426,160",39.47
 30-04-2020,Rajasthan, Monthly,12.25,"13,051,219","1,598,774",35.21
 31-05-2020,Rajasthan, Monthly,10.45,"15,586,833","1,628,824",41.11
 30-06-2020,Rajasthan, Monthly,12.97,"15,381,854","1,995,026",41.65
 31-07-2020,Rajasthan, Monthly,14.4,"14,724,453","2,120,321",40.44
 31-08-2020,Rajasthan, Monthly,14.68,"15,036,627","2,207,377",41.34
 30-09-2020,Rajasthan, Monthly,11.56,"15,014,467","1,735,672",39.73
 31-10-2020,Rajasthan, Monthly,23.93,"14,746,937","3,528,942",45.26
 30-11-2020,Rajasthan, Monthly,16.86,"15,029,219","2,533,926",42.11
 31-12-2020,Rajasthan, Monthly,27.74,"14,847,311","4,118,644",47.75
 31-01-2021,Rajasthan, Monthly,14.03,"15,982,179","2,242,300",43.1
 28-02-2021,Rajasthan, Monthly,25.61,"14,972,793","3,834,532",46.57
 31-03-2021,Rajasthan, Monthly,17.63,"15,221,859","2,683,614",42.66
 30-04-2021,Rajasthan, Monthly,27.33,"14,911,908","4,075,424",47.25
 31-05-2021,Rajasthan, Monthly,22.04,"14,586,302","3,214,821",42.98
 30-06-2021,Rajasthan, Monthly,25.97,"15,168,206","3,939,183",46.97
 31-07-2021,Rajasthan, Monthly,18.55,"15,475,193","2,870,648",43.45
 31-08-2021,Rajasthan, Monthly,25,"15,337,775","3,834,444",46.66
 30-09-2021,Rajasthan, Monthly,13.77,"15,888,973","2,187,912",41.95
 31-10-2021,Rajasthan, Monthly,29.84,"15,212,950","4,539,544",49.24
 30-11-2021,Rajasthan, Monthly,17.38,"15,017,745","2,610,084",41.18
 31-12-2021,Rajasthan, Monthly,25.59,"14,893,195","3,811,169",45.24
 31-01-2022,Rajasthan, Monthly,15.85,"15,459,542","2,450,337",41.43
 28-02-2022,Rajasthan, Monthly,33.14,"14,299,406","4,738,823",48.13
 31-03-2022,Rajasthan, Monthly,22.76,"14,442,981","3,287,222",41.98
 30-04-2022,Rajasthan, Monthly,27.56,"14,968,237","4,125,246",46.29
 31-10-2019,Sikkim, Monthly,5.48,"146,688","8,039",44.06
 30-11-2019,Sikkim, Monthly,13.11,"162,426","21,294",53.04
 31-12-2019,Sikkim, Monthly,1,"161,647","1,616",46.3
 30-04-2020,Sikkim, Monthly,0,"133,399",0,37.72
 30-06-2020,Sikkim, Monthly,5.81,"141,313","8,210",42.36
 31-08-2020,Sikkim, Monthly,12.68,"160,503","20,352",51.82
 31-10-2020,Sikkim, Monthly,1.37,"154,044","2,110",43.98
 30-06-2021,Sikkim, Monthly,0,"169,640",0,47.5
 31-01-2016,Tamil Nadu, Monthly,8.17,"17,782,398","1,452,822",63.34
 29-02-2016,Tamil Nadu, Monthly,2.6,"18,168,328","472,377",60.92
 31-03-2016,Tamil Nadu, Monthly,9.11,"17,700,247","1,612,493",63.51
 30-04-2016,Tamil Nadu, Monthly,11.58,"17,653,242","2,044,245",65.02
 31-05-2016,Tamil Nadu, Monthly,9.81,"18,507,825","1,815,618",66.73
 30-06-2016,Tamil Nadu, Monthly,4.08,"17,158,603","700,071",58.09
 31-07-2016,Tamil Nadu, Monthly,3.27,"17,805,142","582,228",59.69
 31-08-2016,Tamil Nadu, Monthly,6.17,"18,626,660","1,149,265",64.29
 30-09-2016,Tamil Nadu, Monthly,19.3,"17,836,139","3,442,375",71.47
 31-10-2016,Tamil Nadu, Monthly,12.03,"17,155,077","2,063,756",62.97
 30-11-2016,Tamil Nadu, Monthly,4.5,"17,644,912","794,021",59.58
 31-12-2016,Tamil Nadu, Monthly,5.47,"18,144,210","992,488",61.8
 31-01-2017,Tamil Nadu, Monthly,12.84,"18,099,581","2,323,986",66.77
 28-02-2017,Tamil Nadu, Monthly,6.8,"17,377,130","1,181,645",59.87
 31-03-2017,Tamil Nadu, Monthly,2.52,"17,849,223","449,800",58.71
 30-04-2017,Tamil Nadu, Monthly,6.21,"17,777,485","1,103,982",60.69
 31-05-2017,Tamil Nadu, Monthly,3.59,"18,229,170","654,427",60.45
 30-06-2017,Tamil Nadu, Monthly,0.7,"17,385,311","121,697",55.9
 31-07-2017,Tamil Nadu, Monthly,2.83,"17,402,243","492,483",57.09
 31-08-2017,Tamil Nadu, Monthly,3.21,"16,681,303","535,470",54.87
 30-09-2017,Tamil Nadu, Monthly,2.89,"18,198,296","525,931",59.57
 31-10-2017,Tamil Nadu, Monthly,3.68,"17,015,138","626,157",56.08
 30-11-2017,Tamil Nadu, Monthly,2.3,"17,373,818","399,598",56.37
 31-12-2017,Tamil Nadu, Monthly,2.12,"17,203,829","364,721",55.64
 31-01-2018,Tamil Nadu, Monthly,2.2,"17,782,265","391,210",57.47
 28-02-2018,Tamil Nadu, Monthly,2.24,"16,418,900","367,783",53.02
 31-03-2018,Tamil Nadu, Monthly,2.56,"16,873,055","431,950",54.58
 30-04-2018,Tamil Nadu, Monthly,1.39,"17,222,000","239,386",54.97
 31-05-2018,Tamil Nadu, Monthly,1.82,"17,536,067","319,156",56.14
 30-06-2018,Tamil Nadu, Monthly,1.34,"16,384,171","219,548",52.12
 31-07-2018,Tamil Nadu, Monthly,2.2,"16,728,240","368,021",53.61
 31-08-2018,Tamil Nadu, Monthly,1.17,"16,376,394","191,604",51.86
 30-09-2018,Tamil Nadu, Monthly,1.8,"16,274,296","292,937",51.79
 31-10-2018,Tamil Nadu, Monthly,0.64,"16,108,818","103,096",50.59
 30-11-2018,Tamil Nadu, Monthly,2.59,"16,850,621","436,431",53.91
 31-12-2018,Tamil Nadu, Monthly,1.29,"15,440,928","199,188",48.68
 31-01-2019,Tamil Nadu, Monthly,2.67,"15,510,576","414,132",49.52
 28-02-2019,Tamil Nadu, Monthly,1.68,"15,640,955","262,768",49.36
 31-03-2019,Tamil Nadu, Monthly,1.21,"16,405,972","198,512",51.46
 30-04-2019,Tamil Nadu, Monthly,0.57,"15,355,003","87,524",47.78
 31-05-2019,Tamil Nadu, Monthly,0.97,"15,844,690","153,693",49.44
 30-06-2019,Tamil Nadu, Monthly,0.92,"16,375,303","150,653",50.99
 31-07-2019,Tamil Nadu, Monthly,6.01,"16,455,940","989,002",53.94
 31-08-2019,Tamil Nadu, Monthly,2.91,"16,463,934","479,100",52.17
 30-09-2019,Tamil Nadu, Monthly,1.74,"15,062,612","262,089",47.1
 31-10-2019,Tamil Nadu, Monthly,1.46,"15,595,650","227,696",48.55
 30-11-2019,Tamil Nadu, Monthly,2.46,"16,223,432","399,096",50.95
 31-12-2019,Tamil Nadu, Monthly,3.73,"15,356,936","572,814",48.8
 31-01-2020,Tamil Nadu, Monthly,1.18,"14,954,646","176,465",46.23
 29-02-2020,Tamil Nadu, Monthly,1.17,"15,828,488","185,193",48.86
 31-03-2020,Tamil Nadu, Monthly,6.36,"15,848,590","1,007,970",51.56
 30-04-2020,Tamil Nadu, Monthly,53.19,"5,086,200","2,705,350",33.05
 31-05-2020,Tamil Nadu, Monthly,39.08,"5,749,335","2,246,840",28.67
 30-06-2020,Tamil Nadu, Monthly,1.31,"11,087,685","145,249",34.08
 31-07-2020,Tamil Nadu, Monthly,4.53,"14,175,868","642,167",44.97
 31-08-2020,Tamil Nadu, Monthly,1.8,"14,442,862","259,972",44.48
 30-09-2020,Tamil Nadu, Monthly,6.44,"12,531,831","807,050",40.45
 31-10-2020,Tamil Nadu, Monthly,1.04,"13,038,797","135,603",39.74
 30-11-2020,Tamil Nadu, Monthly,1.6,"14,028,335","224,453",42.93
 31-12-2020,Tamil Nadu, Monthly,0.97,"13,482,287","130,778",40.94
 31-01-2021,Tamil Nadu, Monthly,3.19,"12,662,498","403,934",39.28
 28-02-2021,Tamil Nadu, Monthly,2.7,"13,043,798","352,183",40.2
 31-03-2021,Tamil Nadu, Monthly,2.72,"14,192,854","386,046",43.69
 30-04-2021,Tamil Nadu, Monthly,1.46,"13,456,380","196,463",40.83
 31-05-2021,Tamil Nadu, Monthly,29.82,"7,602,435","2,267,046",32.34
 30-06-2021,Tamil Nadu, Monthly,3.59,"10,707,331","384,393",33.12
 31-07-2021,Tamil Nadu, Monthly,4.23,"14,089,239","595,975",43.8
 31-08-2021,Tamil Nadu, Monthly,5.05,"13,017,311","657,374",40.76
 30-09-2021,Tamil Nadu, Monthly,6.81,"11,791,783","803,020",37.57
 31-10-2021,Tamil Nadu, Monthly,2.93,"12,421,674","363,955",37.94
 30-11-2021,Tamil Nadu, Monthly,3.81,"13,850,256","527,695",42.63
 31-12-2021,Tamil Nadu, Monthly,7.78,"12,530,303","974,858",40.17
 31-01-2022,Tamil Nadu, Monthly,5.8,"12,302,972","713,572",38.55
 28-02-2022,Tamil Nadu, Monthly,0.82,"12,112,371","99,321",36
 31-03-2022,Tamil Nadu, Monthly,3.89,"13,558,345","527,420",41.53
 30-04-2022,Tamil Nadu, Monthly,3.54,"12,054,760","426,739",36.73
 31-01-2016,Telangana, Monthly,5.71,"12,840,058","733,167",79.13
 29-02-2016,Telangana, Monthly,2.38,"11,597,906","276,030",68.94
 31-03-2016,Telangana, Monthly,3.17,"10,829,463","343,294",64.79
 30-04-2016,Telangana, Monthly,5.03,"11,987,505","602,972",73.01
 31-05-2016,Telangana, Monthly,3.83,"11,461,146","438,962",68.83
 30-06-2016,Telangana, Monthly,7.61,"8,798,470","669,564",54.91
 31-07-2016,Telangana, Monthly,2.74,"9,121,167","249,920",53.99
 31-08-2016,Telangana, Monthly,2.76,"11,910,609","328,733",70.41
 30-09-2016,Telangana, Monthly,1.86,"10,743,204","199,824",62.83
 31-10-2016,Telangana, Monthly,6.48,"10,309,634","668,064",63.17
 30-11-2016,Telangana, Monthly,4.38,"11,040,798","483,587",66.07
 31-12-2016,Telangana, Monthly,2.5,"12,635,254","315,881",74.03
 31-01-2017,Telangana, Monthly,1.94,"9,931,079","192,663",57.76
 28-02-2017,Telangana, Monthly,15.8,"9,234,905","1,459,115",62.47
 31-03-2017,Telangana, Monthly,4.99,"12,364,421","616,985",74
 30-04-2017,Telangana, Monthly,2.12,"11,545,305","244,760",66.97
 31-05-2017,Telangana, Monthly,1.77,"9,587,156","169,693",55.33
 30-06-2017,Telangana, Monthly,14.7,"9,216,543","1,354,832",61.16
 31-07-2017,Telangana, Monthly,4.24,"9,624,337","408,072",56.8
 31-08-2017,Telangana, Monthly,1.1,"11,190,443","123,095",63.84
 30-09-2017,Telangana, Monthly,1.86,"9,158,081","170,340",52.57
 31-10-2017,Telangana, Monthly,4.76,"8,619,970","410,311",50.91
 30-11-2017,Telangana, Monthly,1.79,"11,943,007","213,780",68.29
 31-12-2017,Telangana, Monthly,1.19,"12,162,503","144,734",69.02
 31-01-2018,Telangana, Monthly,4.62,"9,462,240","437,155",55.54
 28-02-2018,Telangana, Monthly,2.54,"9,609,707","244,087",55.12
 31-03-2018,Telangana, Monthly,3.6,"10,569,654","380,508",61.2
 30-04-2018,Telangana, Monthly,0.65,"9,325,887","60,618",52.31
 31-05-2018,Telangana, Monthly,0.94,"9,063,618","85,198",50.91
 30-06-2018,Telangana, Monthly,1.32,"9,545,297","125,998",53.74
 31-07-2018,Telangana, Monthly,0.27,"11,187,838","30,207",62.23
 31-08-2018,Telangana, Monthly,0.21,"10,444,826","21,934",57.96
 30-09-2018,Telangana, Monthly,0.62,"10,833,856","67,170",60.28
 31-10-2018,Telangana, Monthly,1.22,"8,902,682","108,613",49.76
 30-11-2018,Telangana, Monthly,0.41,"11,422,038","46,830",63.22
 31-12-2018,Telangana, Monthly,0.21,"9,676,854","20,321",53.37
 31-01-2019,Telangana, Monthly,3.01,"10,749,055","323,547",60.9
 28-02-2019,Telangana, Monthly,2.14,"9,965,875","213,270",55.88
 31-03-2019,Telangana, Monthly,2.33,"11,244,921","262,007",63.07
 30-04-2019,Telangana, Monthly,1.86,"9,642,129","179,344",53.74
 31-05-2019,Telangana, Monthly,2.23,"11,053,352","246,490",61.74
 30-06-2019,Telangana, Monthly,5.92,"10,728,821","635,146",62.19
 31-07-2019,Telangana, Monthly,2.45,"11,538,688","282,698",64.4
 31-08-2019,Telangana, Monthly,1.4,"10,743,961","150,415",59.23
 30-09-2019,Telangana, Monthly,4.13,"11,415,308","471,452",64.62
 31-10-2019,Telangana, Monthly,7.29,"11,375,348","829,263",66.49
 30-11-2019,Telangana, Monthly,6.47,"11,265,831","728,899",65.17
 31-12-2019,Telangana, Monthly,1.35,"11,068,057","149,419",60.61
 31-01-2020,Telangana, Monthly,5.02,"12,065,915","605,709",68.51
 29-02-2020,Telangana, Monthly,9.02,"11,304,474","1,019,664",66.92
 31-03-2020,Telangana, Monthly,5.63,"12,028,377","677,198",68.53
 30-04-2020,Telangana, Monthly,4.51,"8,793,799","396,600",49.44
 31-05-2020,Telangana, Monthly,11.64,"10,648,640","1,239,502",64.6
 30-06-2020,Telangana, Monthly,12.03,"10,514,681","1,264,916",63.97
 31-07-2020,Telangana, Monthly,6.67,"10,693,699","713,270",61.22
 31-08-2020,Telangana, Monthly,7.02,"13,608,389","955,309",78.08
 30-09-2020,Telangana, Monthly,4.11,"11,469,409","471,393",63.72
 31-10-2020,Telangana, Monthly,2.53,"12,262,259","310,235",66.91
 30-11-2020,Telangana, Monthly,1.65,"11,928,707","196,824",64.41
 31-12-2020,Telangana, Monthly,6.37,"8,556,804","545,068",48.46
 31-01-2021,Telangana, Monthly,4.82,"11,220,791","540,842",62.41
 28-02-2021,Telangana, Monthly,5.85,"11,047,273","646,265",62.03
 31-03-2021,Telangana, Monthly,3.86,"11,180,051","431,550",61.37
 30-04-2021,Telangana, Monthly,4,"9,247,569","369,903",50.76
 31-05-2021,Telangana, Monthly,8.54,"11,589,550","989,748",66.67
 30-06-2021,Telangana, Monthly,4.35,"10,115,757","440,035",55.56
 31-07-2021,Telangana, Monthly,4.03,"11,149,816","449,338",60.94
 31-08-2021,Telangana, Monthly,2.7,"11,331,936","305,962",60.99
 30-09-2021,Telangana, Monthly,3.39,"11,556,605","391,769",62.55
 31-10-2021,Telangana, Monthly,3.7,"11,882,064","439,636",64.41
 30-11-2021,Telangana, Monthly,4.53,"10,978,770","497,338",59.94
 31-12-2021,Telangana, Monthly,0.36,"12,204,038","43,935",63.74
 31-01-2022,Telangana, Monthly,0,"10,676,237",0,55.47
 28-02-2022,Telangana, Monthly,16.23,"9,821,061","1,593,958",60.83
 31-03-2022,Telangana, Monthly,6.19,"11,189,165","692,609",61.78
 30-04-2022,Telangana, Monthly,9.87,"11,776,165","1,162,307",67.58
 30-09-2017,Tripura, Monthly,20,"859,255","171,851",49.65
 31-10-2017,Tripura, Monthly,8.57,"1,066,870","91,431",53.85
 31-01-2018,Tripura, Monthly,33.33,"963,790","321,231",66.38
 28-02-2018,Tripura, Monthly,31.63,"1,021,898","323,226",68.53
 31-03-2018,Tripura, Monthly,15.29,"936,297","143,160",50.6
 30-04-2018,Tripura, Monthly,13.26,"1,004,529","133,201",52.92
 31-05-2018,Tripura, Monthly,22.92,"1,036,401","237,543",61.34
 30-06-2018,Tripura, Monthly,20,"1,076,286","215,257",61.28
 31-07-2018,Tripura, Monthly,17.49,"951,442","166,407",52.44
 31-08-2018,Tripura, Monthly,23.88,"1,043,379","249,159",62.23
 30-09-2018,Tripura, Monthly,39.19,"967,018","378,974",72.08
 31-10-2018,Tripura, Monthly,33.09,"1,086,837","359,634",73.5
 30-11-2018,Tripura, Monthly,33.33,"1,012,609","337,503",68.62
 31-12-2018,Tripura, Monthly,23.11,"1,066,060","246,366",62.54
 31-01-2019,Tripura, Monthly,33.06,"996,372","329,401",67.03
 28-02-2019,Tripura, Monthly,25.7,"1,137,114","292,238",68.81
 31-03-2019,Tripura, Monthly,22.95,"1,026,566","235,597",59.8
 30-04-2019,Tripura, Monthly,22.22,"1,077,253","239,366",62.07
 31-05-2019,Tripura, Monthly,29.25,"1,019,549","298,218",64.47
 30-06-2019,Tripura, Monthly,26.64,"1,107,013","294,908",67.4
 31-07-2019,Tripura, Monthly,22.47,"1,052,598","236,519",60.54
 31-08-2019,Tripura, Monthly,25.49,"975,501","248,655",58.29
 30-09-2019,Tripura, Monthly,30.23,"1,034,408","312,702",65.9
 31-10-2019,Tripura, Monthly,27.54,"1,113,764","306,731",68.21
 30-11-2019,Tripura, Monthly,25.25,"1,084,633","273,870",64.29
 31-12-2019,Tripura, Monthly,26.53,"1,046,878","277,737",63.02
 31-01-2020,Tripura, Monthly,31.91,"1,057,975","337,600",68.61
 29-02-2020,Tripura, Monthly,26.22,"1,169,347","306,603",69.88
 31-03-2020,Tripura, Monthly,31.61,"1,060,946","335,365",68.28
 30-04-2020,Tripura, Monthly,43.64,"675,083","294,606",52.63
 31-05-2020,Tripura, Monthly,20.88,"891,967","186,243",49.46
 30-06-2020,Tripura, Monthly,18.95,"1,110,234","210,389",60
 31-07-2020,Tripura, Monthly,15.79,"988,947","156,155",51.35
 31-08-2020,Tripura, Monthly,27.44,"970,103","266,196",58.36
 30-09-2020,Tripura, Monthly,19.31,"948,583","183,171",51.24
 31-10-2020,Tripura, Monthly,12.44,"1,175,851","146,276",58.43
 30-11-2020,Tripura, Monthly,13.16,"1,037,059","136,477",51.88
 31-12-2020,Tripura, Monthly,16.42,"993,262","163,094",51.54
 31-01-2021,Tripura, Monthly,20.27,"976,830","198,003",53.05
 28-02-2021,Tripura, Monthly,11.82,"1,214,206","143,519",59.53
 31-03-2021,Tripura, Monthly,13.79,"1,064,773","146,832",53.31
 30-04-2021,Tripura, Monthly,15.13,"1,032,300","156,187",52.41
 31-05-2021,Tripura, Monthly,21.93,"936,126","205,292",51.58
 30-06-2021,Tripura, Monthly,9.47,"1,224,662","115,975",58.1
 31-07-2021,Tripura, Monthly,13.21,"1,153,540","152,383",56.99
 31-08-2021,Tripura, Monthly,12.77,"1,084,275","138,462",53.21
 30-09-2021,Tripura, Monthly,16.04,"1,006,002","161,363",51.21
 31-10-2021,Tripura, Monthly,10.36,"1,243,741","128,852",59.2
 30-11-2021,Tripura, Monthly,12.69,"1,098,617","139,414",53.6
 31-12-2021,Tripura, Monthly,12.77,"1,091,394","139,371",53.21
 31-01-2022,Tripura, Monthly,19.2,"963,096","184,914",50.61
 28-02-2022,Tripura, Monthly,10.14,"1,153,400","116,955",54.41
 31-03-2022,Tripura, Monthly,13.1,"1,102,622","144,443",53.7
 30-04-2022,Tripura, Monthly,12.14,"1,102,605","133,856",53.03
 31-01-2016,Uttar Pradesh, Monthly,13.76,"42,479,419","5,845,168",44.49
 29-02-2016,Uttar Pradesh, Monthly,13.33,"41,941,441","5,590,794",43.62
 31-03-2016,Uttar Pradesh, Monthly,12.16,"43,489,501","5,288,323",44.53
 30-04-2016,Uttar Pradesh, Monthly,13.15,"42,730,696","5,619,087",44.15
 31-05-2016,Uttar Pradesh, Monthly,15.3,"44,347,442","6,785,159",46.89
 30-06-2016,Uttar Pradesh, Monthly,18.02,"42,975,514","7,744,188",46.84
 31-07-2016,Uttar Pradesh, Monthly,11.83,"43,137,820","5,103,204",43.63
 31-08-2016,Uttar Pradesh, Monthly,16.9,"43,095,763","7,283,184",46.14
 30-09-2016,Uttar Pradesh, Monthly,8.89,"46,847,283","4,164,723",45.65
 31-10-2016,Uttar Pradesh, Monthly,8.09,"44,804,448","3,624,680",43.18
 30-11-2016,Uttar Pradesh, Monthly,5.13,"42,225,753","2,166,181",39.34
 31-12-2016,Uttar Pradesh, Monthly,7.23,"42,130,453","3,046,032",40.05
 31-01-2017,Uttar Pradesh, Monthly,2.94,"43,723,080","1,285,459",39.64
 28-02-2017,Uttar Pradesh, Monthly,2.16,"42,679,666","921,881",38.31
 31-03-2017,Uttar Pradesh, Monthly,1.19,"41,651,327","495,651",36.94
 30-04-2017,Uttar Pradesh, Monthly,5.51,"42,101,198","2,319,776",38.96
 31-05-2017,Uttar Pradesh, Monthly,2.15,"42,996,069","924,415",38.34
 30-06-2017,Uttar Pradesh, Monthly,1.6,"44,172,996","706,768",39.08
 31-07-2017,Uttar Pradesh, Monthly,1.26,"42,857,326","540,002",37.71
 31-08-2017,Uttar Pradesh, Monthly,7.13,"42,875,942","3,057,055",40.02
 30-09-2017,Uttar Pradesh, Monthly,2.61,"43,205,468","1,127,663",38.37
 31-10-2017,Uttar Pradesh, Monthly,2.46,"44,011,138","1,082,674",38.94
 30-11-2017,Uttar Pradesh, Monthly,1.46,"42,504,146","620,561",37.15
 31-12-2017,Uttar Pradesh, Monthly,5.53,"41,991,466","2,322,128",38.2
 31-01-2018,Uttar Pradesh, Monthly,3.15,"43,350,408","1,365,538",38.38
 28-02-2018,Uttar Pradesh, Monthly,2.81,"44,031,310","1,237,280",38.77
 31-03-2018,Uttar Pradesh, Monthly,2.18,"43,365,448","945,367",37.85
 30-04-2018,Uttar Pradesh, Monthly,5.73,"43,192,494","2,474,930",39.04
 31-05-2018,Uttar Pradesh, Monthly,4.74,"43,486,815","2,061,275",38.81
 30-06-2018,Uttar Pradesh, Monthly,3.05,"44,046,996","1,343,433",38.54
 31-07-2018,Uttar Pradesh, Monthly,2.94,"43,208,316","1,270,324",37.68
 31-08-2018,Uttar Pradesh, Monthly,8.76,"42,706,441","3,741,084",39.53
 30-09-2018,Uttar Pradesh, Monthly,7.3,"43,174,661","3,151,750",39.25
 31-10-2018,Uttar Pradesh, Monthly,5.05,"42,913,894","2,167,152",38.01
 30-11-2018,Uttar Pradesh, Monthly,5.37,"42,743,911","2,295,348",37.9
 31-12-2018,Uttar Pradesh, Monthly,10.75,"42,924,264","4,614,358",40.27
 31-01-2019,Uttar Pradesh, Monthly,8.14,"42,956,774","3,496,681",39.07
 28-02-2019,Uttar Pradesh, Monthly,8.72,"41,959,261","3,658,848",38.32
 31-03-2019,Uttar Pradesh, Monthly,7.75,"43,342,692","3,359,059",39.08
 30-04-2019,Uttar Pradesh, Monthly,10.87,"44,306,803","4,816,149",41.26
 31-05-2019,Uttar Pradesh, Monthly,10.26,"43,287,812","4,441,330",39.96
 30-06-2019,Uttar Pradesh, Monthly,11.13,"42,276,551","4,705,380",39.32
 31-07-2019,Uttar Pradesh, Monthly,9.19,"42,697,003","3,923,855",38.78
 31-08-2019,Uttar Pradesh, Monthly,11.47,"43,298,748","4,966,366",40.24
 30-09-2019,Uttar Pradesh, Monthly,6.37,"44,310,100","2,822,553",38.86
 31-10-2019,Uttar Pradesh, Monthly,10.18,"42,833,280","4,360,428",39.07
 30-11-2019,Uttar Pradesh, Monthly,6.94,"43,261,536","3,002,351",38.01
 31-12-2019,Uttar Pradesh, Monthly,8.43,"44,640,064","3,763,157",39.77
 31-01-2020,Uttar Pradesh, Monthly,6.06,"45,777,509","2,774,117",39.67
 29-02-2020,Uttar Pradesh, Monthly,8.12,"44,257,432","3,593,703",39.13
 31-03-2020,Uttar Pradesh, Monthly,9.37,"43,086,706","4,037,224",38.53
 30-04-2020,Uttar Pradesh, Monthly,19.92,"39,970,677","7,962,159",40.37
 31-05-2020,Uttar Pradesh, Monthly,16.86,"38,547,596","6,499,125",37.42
 30-06-2020,Uttar Pradesh, Monthly,8.51,"41,908,909","3,566,448",36.89
 31-07-2020,Uttar Pradesh, Monthly,4.39,"43,316,726","1,901,604",36.4
 31-08-2020,Uttar Pradesh, Monthly,5.69,"42,985,424","2,445,871",36.54
 30-09-2020,Uttar Pradesh, Monthly,3.26,"42,993,059","1,401,574",35.55
 31-10-2020,Uttar Pradesh, Monthly,3.22,"43,075,281","1,387,024",35.53
 30-11-2020,Uttar Pradesh, Monthly,4.71,"43,482,416","2,048,022",36.35
 31-12-2020,Uttar Pradesh, Monthly,15.29,"42,975,344","6,570,930",40.32
 31-01-2021,Uttar Pradesh, Monthly,4.22,"42,085,759","1,776,019",34.84
 28-02-2021,Uttar Pradesh, Monthly,3.65,"43,524,091","1,588,629",35.75
 31-03-2021,Uttar Pradesh, Monthly,3.68,"42,817,381","1,575,680",35.11
 30-04-2021,Uttar Pradesh, Monthly,5.03,"43,919,364","2,209,144",36.44
 31-05-2021,Uttar Pradesh, Monthly,6.04,"42,772,497","2,583,459",35.79
 30-06-2021,Uttar Pradesh, Monthly,3.77,"42,925,293","1,618,284",35
 31-07-2021,Uttar Pradesh, Monthly,4.9,"42,092,151","2,062,515",34.65
 31-08-2021,Uttar Pradesh, Monthly,5.99,"43,728,946","2,619,364",36.33
 30-09-2021,Uttar Pradesh, Monthly,4.1,"41,874,581","1,716,858",34.03
 31-10-2021,Uttar Pradesh, Monthly,4.17,"41,980,265","1,750,577",34.07
 30-11-2021,Uttar Pradesh, Monthly,5.04,"43,266,539","2,180,634",35.36
 31-12-2021,Uttar Pradesh, Monthly,3.99,"44,235,000","1,764,977",35.68
 31-01-2022,Uttar Pradesh, Monthly,1.54,"42,383,680","652,709",33.26
 28-02-2022,Uttar Pradesh, Monthly,2.23,"42,049,358","937,701",33.16
 31-03-2022,Uttar Pradesh, Monthly,4.19,"42,512,634","1,781,279",34.14
 30-04-2022,Uttar Pradesh, Monthly,1.67,"43,186,335","721,212",33.72
 31-01-2016,Uttarakhand, Monthly,0,"3,489,729",0,65.86
 29-02-2016,Uttarakhand, Monthly,4.76,"2,460,661","117,127",48.68
 31-03-2016,Uttarakhand, Monthly,1.3,"1,879,939","24,439",35.81
 30-04-2016,Uttarakhand, Monthly,0,"3,124,021",0,58.63
 31-05-2016,Uttarakhand, Monthly,0,"3,866,562",0,72.43
